lista,votos,electores
Alianza Frente Cambia Mendoza,460201,1406082
Alianza Frente Político Y Social Elegí Mendoza,383129,1406082
Protectora Fuerza Politica: Ramón - Vadillo,82710,1406082
Alianza Frente De Izquierda Y De Los Trabajadores: Barbeito - Sosa,41347,1406082
De Los Jubilados: Casas - Báez,21904,1406082
Federal: Innocente - Delicio,16479,1406082
Intransigente: González - Galdeano,9442,1406082
Movimiento Socialista De Los Trabajadores: Marianetti - Fernández,4990,1406082
Votos En Blanco,50108,1406082
Votos Nulos,21888,1406082
