lista,votos,electores
Frente Justicialista Federal,2771364,7662634
Union Civica Radical,1409584,7662634
Movimiento Por La Dignidad Y La Independencia,599082,7662634
Union De Centro Democratico,433382,7662634
Frente Por La Justicia Social,162178,7662634
Frente Independiente,144169,7662634
Movimiento Al Socialismo,134740,7662634
Accion Popular Para La Liberacion,132497,7662634
Unidad Socialista - Democrata Popular,92818,7662634
Comunista De La Provincia De Buenos Aires,46434,7662634
Frente De Voluntad Popular,39248,7662634
Obrero,24730,7662634
Votos En Blanco,278374,7662634
Votos Nulos,49070,7662634
