lista,votos,electores,cargos
Union Civica Radical,719186,1676080,23
Justicialista,615007,1676080,19
Intransigente,26835,1676080,0
Alianza Democrata Socialista,21767,1676080,0
Movimiento De Integracion Y Desarrollo,20519,1676080,0
Socialista Popular,6732,1676080,0
Democrata Cristiano,5480,1676080,0
Federal,4151,1676080,0
Linea Popular,4044,1676080,0
Movimiento Al Socialismo,2953,1676080,0
Confederacion Nacional De Centro,2414,1676080,0
Frente De Izquierda Popular,1883,1676080,0
Obrero,1248,1676080,0
Votos En Blanco,42952,1676080,0
Votos Nulos,4449,1676080,0
