lista,votos,electores
Frente Justicialista Popular,67512,300379
Union Civica Radical,50000,300379
Frente Del Pais Solidario,46513,300379
Movimiento Popular Jujeño,22386,300379
Fuerza Republicana,15602,300379
Union De Centro Democratico,6809,300379
Movimiento Por La Autonomia Politica Jujeña,4935,300379
Alianza Sur,1085,300379
Movimiento Socialista De Los Trabajadores,712,300379
Frente Unidad Trabajadora,457,300379
Humanista,412,300379
Corriente Patria Libre,386,300379
Movimiento Al Socialismo - De Los Trabajadores Socialistas - Frente Obrero,333,300379
Votos En Blanco,6620,300379
Votos Nulos,4772,300379
