lista,votos,electores,cargos
Unión Cívica Radical Del Pueblo,24093,91983,17
Unión Cívica Radical Intransigente,11786,91983,10
Votos En Blanco,9938,91983,0
Demócrata Cristiano,6173,91983,6
Otros,21504,91983,0
