lista,votos,electores,cargos
Union Civica Radical,300140,749248,24
Justicialista,229673,749248,19
Democrata De Mendoza,83044,749248,6
Movimiento De Integracion Y Desarrollo,14329,749248,0
Comunista,9043,749248,0
Frente De Izquierda Popular,1263,749248,0
Votos En Blanco,6911,749248,0
Votos Nulos,4668,749248,0
