lista,votos,electores
Alianza Frente Para La Victoria,323923,699470
Alianza Union Para El Desarrollo Social,74089,699470
Alianza Frente Popular,51347,699470
Coalicion Civica-Afirmacion Por Una Republica Igualitaria,20435,699470
Compromiso Federal,17093,699470
Alianza Frente Amplio Progresista,16245,699470
Alianza Frente De Izquierda Y De Los Trabajadores,3704,699470
Alianza Proyecto Sur,1524,699470
Movimiento Accion Vecinal,1450,699470
Del Campo Popular,968,699470
Votos En Blanco,16515,699470
Votos Nulos,6678,699470
