lista,votos,electores
Kirchner-Scioli (Alianza Frente Para La Victoria),116943,374780
Menem-Romero (Alianza Frente Por La Lealtad - Union De Centro Democratico),51260,374780
Rodríguez Saa-Posse (Alianza Frente Movimiento Popular - Union Y Libertad),49505,374780
Carrió-Gutiérrez (Alianza Afirmacion Para Una Republica Igualitaria),18621,374780
López Murphy-Gómez Diez (Alianza Movimiento Federal Para Recrear El Crecimiento),16362,374780
Moreau-Losada (Union Civica Radical),11146,374780
Walsh-Parrilli (Alianza Izquierda Unida),5060,374780
Altamira-Salas (Obrero),1168,374780
Sullings-Ambrosio (Humanista),932,374780
Bravo-Giustiniani (Socialista),778,374780
Venturino-Pinto Kramer (Confederacion Para Que Se Vayan Todos),758,374780
Zaffore-Perié (Movimiento De Integracion Y Desarrollo),726,374780
Herrera-Cuneo (Democrata Cristiano),581,374780
Mussa-Suárez (Alianza Unidos O Dominados),525,374780
Terán-Bonacci (Movimiento Por La Dignidad Y La Independencia),463,374780
Breide Obeid-Vasena (Popular De La Reconstruccion),442,374780
Arcagni-Zenof (Alianza Tiempos De Cambio - Union Popular),398,374780
Mazzitelli-Camps (Socialista Autentico),0,374780
Votos Blancos,2514,374780
Votos Nulos,6057,374780
