lista,votos,electores
Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria),159747,394084
Carrió - Giustiniani (Alianza Confederacion Coalicion Civica),49738,394084
Lavagna - Morales (Alianza Concertacion Para Una Nacion Avanzada),33567,394084
Sobisch - Asís,12876,394084
"Rodriguez Saá - Maya (Alianza Frente Justicia, Union Y Libertad)",9598,394084
Solanas - Cadelli (Socialista Autentico),5712,394084
Pitrola - Arroyos (Obrero),2345,394084
Montes - Heberling (Alianza Frente P.t.s. - M.a.s. - Izquierda Socialista),2137,394084
Ammann - Deleonardi (Alianza Frente Amplio Hacia La 		Unidad Latinoamericana),1624,394084
Breide Obeid - Vergara (Popular De La Reconstruccion),1389,394084
Ripoll - Bidonde (Movimiento Socialista De Los Trabajadores),1152,394084
López Murphy - Bullrich (Recrear Para El Crecimiento),897,394084
Castells - Pelozo (Movimiento Independiente De Jubilados Y Desocupados),125,394084
Mussa - Nespral (Confederacion Lealtad Popular),71,394084
Votos Blancos,8446,394084
Votos Nulos,5958,394084
