lista,votos,electores,cargos
Union Civica Radical,98916,290040,7
Justicialista,75368,290040,5
Bloquista,58038,290040,4
Cruzada Renovadora,5539,290040,0
Movimiento De Integracion Y Desarrollo,2940,290040,0
Intransigente,2152,290040,0
De Centro,991,290040,0
Socialista Popular,616,290040,0
Democrata Cristiano,498,290040,0
Movimiento Al Socialismo,463,290040,0
Frente De Izquierda Popular,296,290040,0
Alianza Federal,64,290040,0
Votos En Blanco,2473,290040,0
Votos Nulos,2251,290040,0
