lista,votos,electores
Solá - Giannettasio (Justicialista),2563136,9811286
Patti - Barreiro (Alianza Federalista Por Buenos Aires),733262,9811286
Rico - Pellita (Alianza Frente Popular Bonaerense),684176,9811286
Stolbizer - Bazze (Union Civica Radical),530531,9811286
Raimundi - Piani (Alianza Afirmacion Para Una Republica Igualitaria),493752,9811286
Rivas - Zimerman (Alianza Izquierda Unida - Partido Socialista),249896,9811286
Lombardi - Hotton (Alianza Movimiento Federal Para Recrear El Crecimiento),233300,9811286
Caprara - Peralta (Humanista Ecologista),95055,9811286
Rath - Rapanelli (Obrero),76360,9811286
Sarna - Gorria (Socialismo Autentico),45823,9811286
D'elia - Slutzky (Alianza Frente Cambia Buenos Aires),42690,9811286
"""Barba"" Gutiérrez - Campos (Frente Polo Social Para La Victoria)",32350,9811286
Bollini - Torres (Movimiento De Integracion Y Desarrollo),31560,9811286
Benassi - Martínez (Movimiento Vecinalista Provincial),28961,9811286
De La Serna - Bragagnolo (Democrata Cristiano),27862,9811286
Montes - Salomón (De Los Trabajadores Socialistas),23375,9811286
Bosch - Buffa (Popular De La Reconstruccion),18839,9811286
Frecchieri - Pietri (Movimiento Por La Justicia Social),5179,9811286
Votos En Blanco,1014771,9811286
Votos Nulos,86556,9811286
