lista,votos,electores
Alianza Frente Para La Victoria,618305,2501744
Alianza Union Para El Desarrollo Social,319358,2501744
Alianza Frente Amplio Progresista,262103,2501744
Alianza Compromiso Federal,246721,2501744
Alianza Frente Popular,213949,2501744
Alianza Frente De Izquierda Y De Los Trabajadores,66182,2501744
Coalicion Civica-Afirmacion Para Una Republica Igualitaria,54706,2501744
Alianza Proyecto Sur,13547,2501744
Movimiento Accion Vecinal,6251,2501744
Del Campo Popular,3892,2501744
Votos En Blanco,53649,2501744
Votos Nulos,26261,2501744
