lista,votos,electores
Union Pro,882421,2555967
Energia Ciudadana Organizada,413465,2555967
Frente Para La Victoria,348282,2555967
Frente De Izquierda Y Los Trabajadores: Bregman,41719,2555967
Autodeterminacion Y Libertad: Zamora,37885,2555967
Alianza Camino Popular: Lozano,26810,2555967
Frente Por Buenos Aires: Nielsen,16742,2555967
Mst -Nueva Izquierda,16470,2555967
Movimiento Para El Bien Comun,14585,2555967
Es Posible: Kutzarida,10811,2555967
Frente Surgen,8231,2555967
Alianza Alternativa Buenos Aires: Ferreyra,7576,2555967
Movimiento Al Socialismo - Mas: Castiñeira,5896,2555967
Humanista: Tenaglia,4185,2555967
Bandera Vecinal: Vasena,2486,2555967
Alianza Movimiento Federal: Piragini,1642,2555967
Votos En Blanco,20533,2555967
Votos Nulos,20397,2555967
