lista,votos,electores
Perón - Quijano (Peronista),4745168,8633998
Balbín - Frondizi (Unión Cívica Radical),2415750,8633998
Pastor - Solano Lima (Demócrata ),174399,8633998
Ghioldi - De La Peña (Comunista),71318,8633998
Palacios - Ghioldi (Socialista),54920,8633998
Giacobini - Rivero (Salud Publica),5512,8633998
Molinas - Díaz Arana (Demócrata Progresista),2625,8633998
Panelon - Semiza (Concertacion Obrera),1223,8633998
Unión Cívica Nacionalista,163,8633998
Otros,12871,8633998
Votos Blancos Y Nulos,109989,8633998
