lista,votos,electores
Alianza Frente Para La Victoria,209730,468845
Alianza Compromiso Federal,53758,468845
Alianza Unión Para El Desarrollo Social,24236,468845
Alianza Frente Popular,12382,468845
Alianza Frente Amplio Progresista,8610,468845
Coalición Cívica - Afirmación Para Una República Igualitaria,6422,468845
Alianza Frente De Izquierda Y De Los Trabajadores,3463,468845
Alianza Proyecto Sur,1920,468845
Del Campo Popular,479,468845
Movimiento De 	Acción Vecinal,359,468845
Votos En Blanco,39111,468845
Votos Nulos,4086,468845
