lista,votos,electores
Alianza Frente Para La Victoria,447972,1231386
Alianza Compromiso Federal,193778,1231386
Alianza 	Unión Para El Desarrollo Social,113769,1231386
Alianza Frente Amplio Progresista,70107,1231386
Alianza Frente Popular,57179,1231386
Coalición Cívica-Afirmación Para Una Republica Igualitaria,27759,1231386
Alianza Frente De Izquierda Y De Los Trabajadores,25148,1231386
Alianza Proyecto Sur,12012,1231386
Movimiento 	Acción Vecinal,3880,1231386
Del Campo Popular,2760,1231386
Votos En Blanco,21570,1231386
Votos Nulos,23643,1231386
