lista,votos,electores
Ziliotto - Fernández (Frente Justicialista Pampeano),107653,282055
Kroneberger - Evangelista (Frente Cambiemos La Pampa),64990,282055
Tierno - Gauna Rubio (Comunidad Organizada),14686,282055
Robledo - Saavedra (Pueblo Nuevo),7056,282055
Solana - Toselli (Socialista),3811,282055
Ojuez - Kuceski (Frente Popular Pampeano),2879,282055
Flores - Ávila (Desde El Pie),1764,282055
Gómez - Camilletti (Movimiento Socialista De Los Trabajadores),1526,282055
Votos En Blanco,11090,282055
Votos Nulos,2606,282055
