lista,votos,electores,cargos
Union Civica Radical,251811,621499,12
Justicialista,224778,621499,10
Movimiento De Integracion Y Desarrollo,7949,621499,0
Intransigente,7558,621499,0
Democrata Cristiano,4773,621499,0
Democrata De Entre Rios,4225,621499,0
Movimiento Linea Popular,3140,621499,0
Socialista Popular,1562,621499,0
Confederacion Nacional De Centro,1065,621499,0
Federal,587,621499,0
Frente De Izquierda Popular,577,621499,0
Alianza Democrata Socialista,372,621499,0
Votos En Blanco,8497,621499,0
Votos Nulos,3272,621499,0
