lista,votos,electores,cargos
Illia-Perette (Unión Cívica Radical Del Pueblo),17204,70801,4
Olmos-Jofre (Demócrata),7680,70801,1
Alende-Gelsi (Unión Cívica Radical Intransigente),6565,70801,1
De La Justicia Social,6376,70801,1
Union Popular,5189,70801,1
Otros,6186,70801,0
Votos En Blanco Y Nulos,7583,70801,0
