lista,votos,electores
Rovira - Tschirsch (Alianza Frente Renovador),216006,604291
Puerta - Rodriguez (Alianza Frente Justicialista Para El Cambio),149141,604291
Andersen - Llamosas (Alianza Frente Social Y Productivo),61073,604291
Humada - Perie (Alianza Frente Para La Victoria),13714,604291
Galeano - Sand (Alianza Frente Popular),7737,604291
Esperanza - Blanco (Afirmacion Por Una Republica Igualitaria),1982,604291
Silva - Cerruti (Comunista),908,604291
Votos En Blanco,10990,604291
Votos Nulos,3908,604291
