lista,votos,electores
Alianza Frente De Todos: Fernández - Fernández,874154,2764006
Alianza Juntos Por El Cambio: Macri - Pichetto,676141,2764006
Alianza Consenso Federal: Lavagna - Urtubey,242955,2764006
Alianza Frente Nos: Gómez Centurión - Hotton,60734,2764006
Unite Por La Libertad Y La Dignidad: Espert - Rosales,58731,2764006
Alianza Frente De Izquierda Y De Trabajadores: Del Caño - Del Pla,38240,2764006
Movimiento Al Socialismo: Castañeira - Mulhall,11156,2764006
Alianza Frente Patriota: Biondini - Venturino,3517,2764006
Partido Autonomista: Romero Feris - Sueldo,3014,2764006
Movimiento De Acción Vecinal: Albarracín - Pastore,2225,2764006
Votos En Blanco,28761,2764006
Votos Nulos,48157,2764006
