lista,votos,electores
Alianza Frente Justicialista,152884,536352
Alianza Frente Pais Solidario,67991,536352
Alianza Union Civica Radical - Movimiento De Integracion Y Desarrollo,57082,536352
Frente Grande,54008,536352
Union De Centro Democratico,12633,536352
Movimiento Por La Dignidad Y La Independencia,6118,536352
Corriente Patria Libre,945,536352
Alianza Sur,882,536352
Humanista,613,536352
Alianza Movimiento Al Socialismo - De Los Trabajadores Socialistas,540,536352
Movimiento Democratico Antimperialista,532,536352
Movimiento Socialista De Los Trabajadores,512,536352
Obrero,331,536352
Alianza Frente Para La Coincidencia Patriotica,11,536352
Votos En Blanco,22765,536352
Votos Nulos,2623,536352
