lista,votos,electores
Alianza Frente De Todos: Fernández - Fernández,162457,446075
Alianza Juntos Por El Cambio: Macri - Pichetto,71830,446075
Alianza Consenso Federal: Lavagna - Urtubey,25372,446075
Alianza Frente Nos: Gómez Centurión - Hotton,14237,446075
Alianza Frente De Izquierda Y De Trabajadores: Del Caño - Del Pla,11230,446075
Unite Por La Libertad Y La Dignidad: Espert - Rosales,7539,446075
Movimiento Al Socialismo: Castañeira - Mulhall,3060,446075
Alianza Frente Patriota: Biondini - Venturino,975,446075
Movimiento De Acción Vecinal: Albarracín - Pastore,721,446075
Partido Autonomista: Romero Feris - Sueldo,557,446075
Votos En Blanco,21975,446075
Votos Nulos,7950,446075
