lista,votos,electores
Alianza Frente De Todos: Fernández - Fernández,377861,1102906
Alianza Juntos Por El Cambio: Macri - Pichetto,300095,1102906
Alianza Consenso Federal: Lavagna - Urtubey,72852,1102906
Alianza Frente Nos: Gómez Centurión - Hotton,21265,1102906
Unite Por La Libertad Y La Dignidad: Espert - Rosales,19390,1102906
Alianza Frente De Izquierda Y De Trabajadores: Del Caño - Del Pla,16544,1102906
Movimiento Al Socialismo: Castañeira - Mulhall,7512,1102906
Alianza Frente Patriota: Biondini - Venturino,2106,1102906
Movimiento De Acción Vecinal: Albarracín - Pastore,1891,1102906
Partido Autonomista: Romero Feris - Sueldo,1197,1102906
Votos En Blanco,15669,1102906
Votos Nulos,9784,1102906
