lista,votos,electores
Alperovich - Manzur (Alianza Frente Para La Victoria),529449,945294
Bussi - Jerez (Fuerza Republicana),35795,945294
Jerez - Palina (Alianza Coalición Cívica Por La 		Resistencia),25517,945294
Cirnigliaro - Aceñolaza (Laborista De Tucumán),22599,945294
Marigliano - Martínez Aráoz (Unión Cívica Radical),15285,945294
Padilla Nougués - Walter (Recrear Para El Crecimiento),13330,945294
Iriarte - Burgos (Alianza Frente Por La Dignidad),9238,945294
Blanco - Pourrieux (Obrero),7437,945294
Paez - Beltrán (Demócrata Cristiano),5383,945294
Romero - Avila Gallo (Cruzada Peronlsta),4927,945294
Succar - Cocconi (Socialista),3795,945294
Alberstein - Segura (Izquierda Unida),3592,945294
Sánchez - Ruiz (Movimiento Independiente De Jubilados Y 		Desocupados),1012,945294
Votos En Blanco,12381,945294
Votos Nulos,10451,945294
