lista,votos,electores
Alianza Frente Para La Victoria: Scioli - Zannini,68806,269047
Alianza Cambiemos,45638,269047
Alianza Unidos Por Una Nueva Alternativa (Una),40985,269047
Alianza Compromiso Federal: Rodríguez Saa - Negre De Alonso,7079,269047
Alianza Frente De Izquierda Y De Los Trabajadores,2404,269047
Alianza Progresistas: Stolbizer - Olaviaga,1146,269047
Alianza Frente Popular: De Gennaro - Codoni,645,269047
Partido Popular: Yattah - Moretta,611,269047
Mst - Nueva Izquierda: Bodart - Ripoll,602,269047
Movimiento Al Socialismo: Castañeira - Ayala,555,269047
Movimiento De Accion Vecinal: Albarracín - Dib,336,269047
Votos En Blanco,7973,269047
Votos Nulos,1668,269047
