lista,votos,electores
Uñac - Gattoni (Alianza Frente Todos),228509,557252
Orrego - Laciar (Alianza Frente Con Vos),138611,557252
Turcumán - Suárez Jofre (Alianza Frente San Juan Primero),16271,557252
Avelín - Alanís (Cruzada Renovadora),8781,557252
Fernández - Mariconda (Dignidad Ciudadana),6868,557252
Agüero - Liquitay (Del Trabajo Y Del Pueblo),4202,557252
Garrido - Avaro (Nueva Izquierda),3739,557252
Tejada - Roca (Nueva Dirigencia),2268,557252
Votos En Blanco,15137,557252
Votos Nulos,4178,557252
Votos Recurridos,447,557252
