lista,votos,electores
"De La Rua - Alvarez (Alianza Para El Trabajo, La Justicia Y La Educacion)",42646,113216
Duhalde - Ortega (Alianza Concertacion Justicialista Para El Cambio),36538,113216
Cavallo - Caro Figueroa (Accion Por La Republica),7845,113216
Altamira - Rieznik (Frente Unidad Trabajadora),671,113216
Méndez - Pompei (Humanista),451,113216
Walsh - Leonardi (Alianza Izquierda Unida),379,113216
Mussa - Herrera (Alianza Social Cristiana),216,113216
Reyna - Moccia (Frente De La Resistencia),150,113216
Votos En Blanco,1214,113216
Votos Nulos,1676,113216
