lista,votos,electores
Alianza Frente De Todos: Fernández - Fernández,107184,286985
Alianza Juntos Por El Cambio: Macri - Pichetto,69190,286985
Alianza Consenso Federal: Lavagna - Urtubey,17007,286985
Alianza Frente Nos: Gómez Centurión - Hotton,5494,286985
Alianza Frente De Izquierda Y De Trabajadores: Del Caño - Del Pla,4834,286985
Unite Por La Libertad Y La Dignidad: Espert - Rosales,4038,286985
Movimiento Al Socialismo: Castañeira - Mulhall,2491,286985
Alianza Frente Patriota: Biondini - Venturino,618,286985
Movimiento De Acción Vecinal: Albarracín - Pastore,491,286985
Partido Autonomista: Romero Feris - Sueldo,406,286985
Votos En Blanco,2216,286985
Votos Nulos,2511,286985
