lista,votos,electores
Frente Justicialista,129290,535570
Frente Pais Solidario,96812,535570
Renovador De Salta,73202,535570
Union Civica Radical,65179,535570
Movimiento Por La Dignidad Y La Independencia,15092,535570
Union De Centro Democratico,6799,535570
Frente Unidad De Los Trabajadres - Obrero,1174,535570
Alianza Sur,959,535570
Humanista,684,535570
Corriente Patria Libre,567,535570
Movimiento Socialista De Los Trabajadores,505,535570
Alianza Movimiento Al Socialismo - De Los Trabajadores Socialistas,331,535570
Votos En Blanco,3191,535570
Votos Nulos,5121,535570
