lista,votos,electores
Alianza Frente Para La Victoria,195830,440100
Alianza Unión Para El Desarrollo Social,43585,440100
Alianza Frente Amplio Progresista,22887,440100
Alianza Frente Popular,21324,440100
Coalición Cívica-Afirmación Para Una República Igualitaria,15670,440100
Alianza Frente De Izquierda Y De Los Trabajadores,11459,440100
Alianza Compromiso Federal,8604,440100
Alianza Proyecto Sur,3840,440100
Movimiento 	Acción Vecinal,1711,440100
Del Campo Popular,1057,440100
Votos En Blanco,6636,440100
Votos Nulos,7647,440100
