lista,votos,electores,cargos
Frente Justicialista Popular,70233,127833,10
Union Civica Radical,29888,127833,4
Blanco De Los Jubilados,1877,127833,0
Alianza Izquierda Unida,806,127833,0
Union De Centro Democratico,804,127833,0
Movimiento De Integracion Y Desarrollo,557,127833,0
Alianza De Centro,421,127833,0
Confederacion Federalista Independiente,381,127833,0
Democrata Progresista,273,127833,0
Frente Humanista - Verde,200,127833,0
Votos En Blanco,898,127833,0
Votos Nulos,617,127833,0
