lista,votos,electores
Alianza Frente De Todos: Fernández - Fernández,429036,760537
Alianza Juntos Por El Cambio: Macri - Pichetto,78744,760537
Alianza Consenso Federal: Lavagna - Urtubey,19330,760537
Alianza Frente Nos: Gómez Centurión - Hotton,10452,760537
Alianza Frente De Izquierda Y De Trabajadores: Del Caño - Del Pla,5645,760537
Unite Por La Libertad Y La Dignidad: Espert - Rosales,4990,760537
Movimiento Al Socialismo: Castañeira - Mulhall,1447,760537
Alianza Frente Patriota: Biondini - Venturino,882,760537
Movimiento De Acción Vecinal: Albarracín - Pastore,583,760537
Partido Autonomista: Romero Feris - Sueldo,412,760537
Votos En Blanco,17020,760537
Votos Nulos,3928,760537
