lista,votos,electores
Schiaretti - Calvo (Hacemos Por Cordoba),1101960,2889973
Negri - Baldassi (Cordoba Cambia),362101,2889973
Mestre - Briner (Unión Cívica Radical),222826,2889973
Garcia Elorrio - Arias (Encuentro Vecinal Córdoba),75794,2889973
Olivero - Musso (Frente De Izquierda Y De Los Trabajadores),52650,2889973
Echevarría - Pereyra Vacchiani (Mst - Nueva Izquierda),29053,2889973
Schüle - Vergara (Partido Humanista),24126,2889973
Beltrán - Gordillo (Vecinalismo Independiente),21868,2889973
Spaccesi - Braun (Partido Union Ciudadana),13060,2889973
Dandach - Fernández (Movimiento De Acción Vecinal),6119,2889973
Mulhall - Di Santi (Movimiento Avanzada Socialista),6076,2889973
Bianco - Lubatti (Unión Del Centro Democrático),4994,2889973
Votos En Blanco,123967,2889973
Votos Nulos,58824,2889973
