lista,votos,electores,cargos
Frondizi - Gómez (Union Civica Radical Intransigente),4070398,10002327,319
Balbín - Del Castillo (Unión Cívica Radical Del Pueblo),2617693,10002327,140
Palacios - Sánchez Viamonte (Socialista),523545,10002327,0
Otros,432038,10002327,7
Ayarragaray - Sueldo (Demócrata Cristiano ),339495,10002327,0
Molinas - Thedy (Demócrata Progresista),172842,10002327,0
González Iramain - Aguinaga (Demócrata),157320,10002327,0
Solano Lima - Maldonado (Demócrata Conservador Popular),130151,10002327,0
Peña – Zaeffer De Goyeneche 	(Cívico Independiente),54356,10002327,0
Serrano - De Sanz (Unión Federal),15844,10002327,0
Votos En Blanco Y Nulos,783684,10002327,0
