lista,votos,electores
Macri - Vidal (Alianza Propuesta Republicana),1090389,2486991
Filmus - Tomada (Alianza Frente Para La Victoria),606126,2486991
Solanas - Selser (Alianza Proyecto Sur),0,2486991
Estenssoro - Sánchez (Alianza Coalición Cívica),0,2486991
Giudici - Augugliaro Acierno,0,2486991
Telerman - Kravetz (Frente Progresista Por Buenos Aires),0,2486991
Zamora - Paul (Autodeterminación Y Libertad),0,2486991
Lopez Murphy - Paulesu (Autonomista),0,2486991
Castrilli - Iruzun Di Si (Acción Ciudadana),0,2486991
Bregman - Castillo (Alianza Frente De Izquierda Y De Los 		Trabajadores),0,2486991
Todesca - Yofre (Movimiento De Integración Y Desarrollo),0,2486991
Biondini - Puertolas (Alternativa Social),0,2486991
Rojas - Saboulard (Movimiento Avanzada Socialista),0,2486991
Piragini - Ferrari (Alianza Frente De Los Ciudadanos),0,2486991
Votos En Blanco,44028,2486991
Votos Nulos,50635,2486991
