lista,votos,electores
Alianza Frente Para La Victoria,676812,2440284
Alianza Frente Amplio Progresista,585682,2440284
Alianza Frente Popular,207293,2440284
Alianza Union Para El Desarrollo Social,116807,2440284
Alianza Compromiso Federal,97738,2440284
Coalicion Civica-Afirmación Para Una República Igualitaria,59151,2440284
Alianza Frente De Izquierda Y De Los Trabajadores,23983,2440284
Alianza Proyecto Sur,12573,2440284
Del Campo Popular,3636,2440284
Movimiento Accion Vecinal,1867,2440284
Votos En Blanco,31694,2440284
Votos Nulos,27035,2440284
