lista,votos,electores,cargos
Pacto Autonomista Liberal - Democrata Progresista - Movimiento Liberacion Popular,166866,476417,15
Union Civica Radical,93518,476417,7
Justicialista,69386,476417,4
Frente Renovador,21654,476417,0
Movimiento De Integracion Y Desarrollo,9014,476417,0
Union De Centro Democratico - Social Republicano,7600,476417,0
Alianza Accion Independiente,4549,476417,0
Intransigente,1523,476417,0
Frente Amplio De Liberacion,1169,476417,0
Socialista Popular,558,476417,0
Movimiento Patriotico De Liberacion,436,476417,0
Votos En Blanco,3595,476417,0
Votos Nulos,1220,476417,0
