lista,votos,electores
Alianza Frente Para La Victoria: Scioli - Zannini,115769,470217
Alianza Cambiemos,88905,470217
Alianza Unidos Por Una Nueva Alternativa (Una),70548,470217
Alianza Frente De Izquierda Y De Los Trabajadores,19764,470217
Alianza Progresistas: Stolbizer - Olaviaga,9870,470217
Alianza Compromiso Federal: Rodríguez Saa - Negre De Alonso,7847,470217
Mst - Nueva Izquierda: Bodart - Ripoll,2705,470217
Alianza Frente Popular: De Gennaro - Codoni,2621,470217
Movimiento Al Socialismo: Castañeira - Ayala,2503,470217
Partido Popular: Yattah - Moretta,2416,470217
Movimiento De Accion Vecinal: Albarracín - Dib,1413,470217
Votos En Blanco,42212,470217
Votos Nulos,10020,470217
