lista,votos,electores
Alianza Frente Justicialista Entrerriano,272819,723186
Alianza Union Civica Radical - Alianza Del Pueblo,157112,723186
Alianza Frente Pais Solidario,146086,723186
Movimiento Por La Dignidad Y La Independencia,10026,723186
Alianza Sur - Del Trabajo Y Del Pueblo,1393,723186
Humanista,852,723186
Movimiento Socialista De Los Trabajadores,816,723186
Alianza Frente Unidad De Los Trabajadores - Obrero,763,723186
Corriente Patria Libre,716,723186
Alianza Movimiento Al Socialismo - De Los Trabajadores Socialistas,531,723186
Alianza Frente Para La Coincidencia Patriotica,8,723186
Votos En Blanco,21992,723186
Votos Nulos,3073,723186
