lista,votos,electores
Alianza Frente De Todos: Fernández - Fernández,188716,556889
Alianza Juntos Por El Cambio: Macri - Pichetto,118587,556889
Alianza Consenso Federal: Lavagna - Urtubey,40647,556889
Alianza Frente Nos: Gómez Centurión - Hotton,17261,556889
Alianza Frente De Izquierda Y De Trabajadores: Del Caño - Del Pla,12897,556889
Unite Por La Libertad Y La Dignidad: Espert - Rosales,10947,556889
Movimiento Al Socialismo: Castañeira - Mulhall,1850,556889
Alianza Frente Patriota: Biondini - Venturino,1039,556889
Movimiento De Acción Vecinal: Albarracín - Pastore,917,556889
Partido Autonomista: Romero Feris - Sueldo,366,556889
Votos En Blanco,16093,556889
Votos Nulos,6266,556889
