listas,votos,electores
Fernández de Kirchner - Boudou (ALIANZA FRENTE PARA LA VICTORIA),225805,439560
Binner - Morandini (ALIANZA FRENTE AMPLIO PROGRESISTA),39876,439560
Alfonsin - González Fraga (ALIANZA UNIÓN PARA EL DESARROLLO SOCIAL),3079,439560
Rodríguez Saa - Vernet (ALIANZA COMPROMISO FEDERAL),13261,439560
Duhalde - Das Neves (ALIANZA FRENTE POPULAR),9791,439560
Altamira - Castillo (ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES),6765,439560
Carrió - Pérez (COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA),5446,439560
Votos En Blanco,8729,439560
Votos Nulos,4478,439560
