lista,votos,electores
Alianza Frente Todos - Lista Futuro Para Todos: 		Uñac - Gattoni,220102,557263
Alianza Frente Con Vos - Lista Celeste: 		Orrego - Laciar,127396,557263
Alianza Frente San Juan Primero - Lista Sanjuaninos: 		Turcumán - Suárez Jofre,17019,557263
Cruzada Renovadora - Lista Blanca Unidad: Avelín - Alanís,8622,557263
Dignidad Ciudadana - Lista Ideas Para San Juan: Fernández 		- Mariconda,7504,557263
Nueva Dirigencia - Lista Libres: Tejada - Roca,5686,557263
Del Trabajo Y Del Pueblo - Lista Ahora El Pueblo: Agüero 		- Liquitay,4839,557263
Nueva Izquierda - Lista Roja Unir Y Renovar: Garrido - 		Avaro,4011,557263
Votos En Blanco,21597,557263
Votos Nulos,5252,557263
