lista,votos,electores
Frente De La Esperanza,215531,759945
Frente Pais Solidario,167796,759945
Union Civica Radical,71137,759945
Fuerza Republicana,64007,759945
Union De Centro Democratico,47023,759945
De La Independencia,3161,759945
Alianza Sur,1794,759945
Movimiento Socialista De Los Trabajadores,1466,759945
Corriente Patria Libre,1365,759945
Frente Unidad Trabajadora - Obrero,993,759945
Movimiento Al Socialismo - De Los Trabajadores Socialistas - Frente Obrero Socialista,893,759945
Humanista,798,759945
Votos En Blanco,6237,759945
Votos Nulos,11023,759945
