lista,votos,electores
Menem-Romero (Alianza Frente Por La Lealtad - Union De Centro Democratico),48997,221942
Rodríguez Saa-Posse (Alianza Frente Movimiento Popular - Union Y Libertad),36118,221942
Kirchner-Scioli (Alianza Frente Para La Victoria),31320,221942
López Murphy-Gómez Diez (Alianza Movimiento Federal Para Recrear El Crecimiento),25103,221942
Carrió-Gutiérrez (Alianza Afirmacion Para Una Republica Igualitaria),19591,221942
Moreau-Losada (Union Civica Radical),5143,221942
Bravo-Giustiniani (Socialista),2403,221942
Walsh-Parrilli (Alianza Izquierda Unida),1464,221942
Sullings-Ambrosio (Humanista),1229,221942
Zaffore-Perié (Movimiento De Integracion Y Desarrollo),857,221942
Breide Obeid-Vasena (Popular De La Reconstruccion),850,221942
Altamira-Salas (Obrero),780,221942
Mazzitelli-Camps (Socialista Autentico),551,221942
Mussa-Suárez (Alianza Unidos O Dominados),478,221942
Arcagni-Zenof (Alianza Tiempos De Cambio - Union Popular),460,221942
Herrera-Cuneo (Democrata Cristiano),418,221942
Terán-Bonacci (Movimiento Por La Dignidad Y La Independencia),401,221942
Venturino-Pinto Kramer (Confederacion Para Que Se Vayan Todos),41,221942
Votos Blancos,1317,221942
Votos Nulos,3011,221942
