lista,votos,electores,cargos
Frente Justicialista Popular,161716,490641,8
Pacto Autonomista Liberal - Democrata Progresista -Movimiento Liberacion Popular,106774,490641,5
Union Civica Radical,102230,490641,5
Confederacion Federalista Independiente,4783,490641,0
Union De Centro Democratico,4600,490641,0
Alianza Izquierda Unida,2114,490641,0
Socialista Popular,915,490641,0
Obrero,604,490641,0
Frente Humanista - Verde,500,490641,0
Movimiento Democratico Popular Anti-Imperialista,429,490641,0
Votos En Blanco,6312,490641,0
Votos Nulos,4174,490641,0
