lista,votos,electores,cargos
Illia-Perette (Unión Cívica Radical Del Pueblo),2441064,11356240,168
Alende-Gelsi (Unión Cívica Radical Intransigente),1593002,11356240,113
Aramburu-Etchevehere (Unión Del Pueblo Argentino),728662,11356240,41
Aramburu-Thedy (Demócrata Progresista),633934,11356240,33
Olmos-Jofre (Federacion Partidos De Centro),499822,11356240,24
Sueldo-Cerro (Demócrata Cristiano),434823,11356240,22
Palacios-Soria (Socialista Argentino),268339,11356240,12
Orgaz-Fitte (Socialista Democrático),258787,11356240,10
Otros,774252,11356240,53
Votos En Blanco,1884435,11356240,0
Votos Nulos,173696,11356240,0
