lista,votos,electores
Alianza Frente Para La Victoria: Scioli - Zannini,97103,294143
Alianza Cambiemos,63587,294143
Alianza Unidos Por Una Nueva Alternativa (Una),24427,294143
Alianza Frente De Izquierda Y De Los Trabajadores,2027,294143
Alianza Progresistas: Stolbizer - Olaviaga,1822,294143
Alianza Compromiso Federal: Rodríguez Saa - Negre De Alonso,1064,294143
Mst - Nueva Izquierda: Bodart - Ripoll,619,294143
Alianza Frente Popular: De Gennaro - Codoni,543,294143
Movimiento Al Socialismo: Castañeira - Ayala,412,294143
Movimiento De Accion Vecinal: Albarracín - Dib,361,294143
Partido Popular: Yattah - Moretta,348,294143
Votos En Blanco,26037,294143
Votos Nulos,1105,294143
