lista,votos,electores
Saiz - De Rege (Alianza Concertacion Para El Desarrollo),78202,354416
Soria - Durán,72498,354416
Arriaga - Di Biase (Alianza Encuentro Para Los Rionegrinos),48790,354416
Rosso - Sarandria (Alianza Mara),24782,354416
Martínez - Nemeth (Humanista),3810,354416
Alac - Rodríguez (Izquierda Unida),3564,354416
Argibay - Gómez (Recrear Para El Crecimiento),3374,354416
Castañeda - Sanguinetti (Unión Y Libertad),2286,354416
Pastor - Calderón (Obrero),2175,354416
Votos En Blanco,18815,354416
Votos Nulos,3880,354416
