X1,X2,X3,X4,X5
84,"LABADO, María Ester",Santa Cruz,#FFCCCC,NA
85,"LATORRE, Roxana Itatí",Santa Fe,#FFCCCC,NA
88,"LEGUIZAMÓN, María Laura",Buenos Aires,#FFCCCC,NA
89,"LEGUIZAMÓN, María Laura",Ciudad Autónoma de Buenos Aires,#FFCCCC,NA
90,"LESCANO, Marcela Fabiana",Formosa,#FFCCCC,NA
91,"LINARES, Jaime",Buenos Aires,#CCFFFF,NA
92,"LÓPEZ ARIAS, Marcelo Eduardo",Salta,#CCFFFF,NA
93,"LÓPEZ, Osvaldo Ramón",Tierra del Fuego,#CCFFFF,NA
94,"LORES, Horacio",Neuquén,#CCFFFF,NA
95,"LOSADA, Mario Aníbal",Misiones,#CCFFFF,NA
96,"LUNA, Mirtha María Teresita",La Rioja,#FFCCCC,NA
97,"MANSILLA, Sergio Francisco",Tucumán,#CCFFFF,NA
98,"MARIN, Rubén Hugo",La Pampa,#CCFFFF,NA
99,"MARINO, Juan Carlos",La Pampa,#CCFFFF,344.gif
100,"MARTIN, Floriana Nélida",San Juan,#FFCCCC,NA
101,"MARTINAZZO, Luis Eduardo",San Juan,#CCFFFF,NA
102,"MARTÍNEZ PASS de CRESTO, Laura",Entre Ríos,#FFCCCC,NA
103,"MARTINEZ, Alfredo Anselmo",Santa Cruz,#CCFFFF,NA
104,"MARTINEZ, José Carlos",Tierra del Fuego,#CCFFFF,NA
105,"MASSONI, Norberto",Chubut,#CCFFFF,NA
106,"MASTANDREA, Alicia Ester",Chaco,#FFCCCC,NA
107,"MAYANS, José Miguel Ángel",Formosa,#CCFFFF,294.gif
108,"MAZA, Ada Mercedes",La Rioja,#FFCCCC,NA
109,"MEABE de MATHO, Josefina Angélica",Corrientes,#FFCCCC,NA
110,"MENEM, Carlos Saúl",La Rioja,#CCFFFF,357.gif
111,"MENEM, Eduardo",La Rioja,#CCFFFF,NA
112,"MERA, Mario Rubén",Santiago del Estero,#CCFFFF,NA
113,"MESTRE, Ramón Javier",Córdoba,#CCFFFF,NA
114,"MICHETTI, Marta Gabriela",Ciudad Autónoma de Buenos Aires,#FFCCCC,NA
115,"MIRANDA, Julio Antonio",Tucumán,#CCFFFF,NA
116,"MONLLAU, Blanca María del Valle",Catamarca,#FFCCCC,NA
117,"MONTENEGRO, Gerardo Antenor",Santiago del Estero,#CCFFFF,446.gif
118,"MONTERO, Laura Gisela",Mendoza,#FFCCCC,NA
119,"MORALES, Gerardo Rubén",Jujuy,#CCFFFF,NA
120,"MORANDINI, Norma Elena",Córdoba,#FFCCCC,NA
121,"MULLER, Mabel Hilda",Buenos Aires,#FFCCCC,NA
122,"NEGRE DE ALONSO, Liliana Teresita",San Luis,#FFCCCC,NA
123,"NIKISCH, Roy Abelardo",Chaco,#CCFFFF,NA
124,"OCHOA, Raúl Ernesto",San Luis,#CCFFFF,NA
125,"ODARDA, María Magdalena",Río Negro,#FFCCCC,NA
126,"OSUNA, Blanca Inés",Entre Ríos,#FFCCCC,NA
